Epoch,Train_Loss,Val_Loss,Val_Acc
1,0.7437,0.6933,49.20%
2,0.5070,0.6930,50.00%
3,0.3693,0.6926,63.80%
4,0.3155,0.6921,79.80%
5,0.2928,0.6911,83.60%
6,0.2874,0.6892,81.20%
7,0.2488,0.6860,66.80%
8,0.2296,0.6814,67.00%
9,0.2157,0.6749,77.20%
10,0.1914,0.6661,85.20%
11,0.1982,0.6541,88.00%
12,0.1916,0.6385,89.20%
13,0.1765,0.6190,87.20%
14,0.1723,0.5981,84.80%
15,0.1641,0.5775,83.80%
16,0.1520,0.5533,83.40%
17,0.1440,0.5275,83.40%
18,0.1427,0.4961,84.00%
19,0.1339,0.4695,84.80%
20,0.1304,0.4400,86.00%
21,0.1176,0.4113,85.80%
22,0.1220,0.3933,85.20%
23,0.1164,0.3888,84.00%
24,0.1096,0.3643,85.40%
25,0.1119,0.3649,84.20%
26,0.1028,0.3333,85.60%
27,0.0984,0.3006,87.40%
28,0.0914,0.2887,87.60%
29,0.0816,0.2865,87.80%
30,0.0826,0.2711,88.80%
31,0.0854,0.2788,87.80%
32,0.0802,0.2779,88.80%
33,0.0695,0.2858,89.00%
34,0.0656,0.2981,88.80%
35,0.0598,0.3112,87.80%
36,0.0623,0.2922,89.00%
37,0.0661,0.2942,89.00%
38,0.0604,0.3065,88.60%
39,0.0614,0.2995,88.40%
40,0.0655,0.2795,89.80%
