Segment_Length,True_Count,Predicted_Count,Pred_Mean,Pred_Std,Jaccard_Index
2,1,0,0.0,0.0,0.0
3,156,93,1.0,1.5215,0.3796
4,212,76,3.3795,2.2531,0.6593
5,537,1257,5.0,0.0,0.8718
6,590,61,5.5917,0.9342,0.8857
7,432,684,6.2385,1.0216,0.9291
8,320,67,7.8874,1.0183,0.8668
9,279,500,8.3135,0.9859,0.8764
10,253,51,9.2053,1.4418,0.8597
11,188,295,10.25,1.0828,0.8921
12,146,67,11.252,2.1284,0.8638
13,134,154,10.3387,3.1924,0.8193
14,103,44,12.0122,2.5109,0.8157
15,92,121,13.6522,2.1924,0.8347
16,77,43,13.918,2.5498,0.8065
17,65,57,16.3673,2.0373,0.8605
18,40,27,16.8929,1.8389,0.8829
19,31,29,15.1429,5.5723,0.7745
20,34,17,12.1333,4.0061,0.6348
21,23,20,12.65,4.0034,0.6597
22,16,16,16.9375,5.3674,0.796
23,12,12,16.9167,5.5145,0.7778
24,19,8,16.2105,6.3708,0.6869
25,11,5,13.25,1.9203,0.584
26,8,3,20.0,4.6904,0.8065
27,3,3,25.5,0.5,0.8277
28,2,0,20.5,2.5,0.6898
29,1,1,22.0,0.0,0.8148
30,3,1,31.5,2.5,0.8171
31,3,1,10.0,3.0,0.5632
32,2,0,23.5,7.5,0.7419
33,2,2,12.5,1.5,0.3805
34,1,2,13.0,0.0,0.4062
35,1,1,14.0,0.0,0.4242
36,1,0,22.0,0.0,0.4
37,3,1,12.5,3.5,0.5579
42,1,0,13.0,0.0,0.2326
